Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
8266525121,"Dec 19, 2022, 11:37:07 AM",Night Workout,Crossfit,"",2317,0,,,false,"",,activities/8860310457.tcx.gz,,,2317.0,2317.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,54.0,54.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
8266525192,"Dec 19, 2022, 12:24:07 PM",Morning Walk,Walk,,1451,1.69,,,false,,,activities/8860310523.gpx.gz,,,1451.0,1150.0,1698.549072265625,4.490938186645508,1.4769991636276245,0.0,1.100000023841858,6.400000095367432,7.599999904632568,1.0955984592437744,-0.06476115435361862,,,66.0,56.73513412475586,,,,,157.5665740966797,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.1706057786941528,0.0,,,,,,,,,,,,""
8270693614,"Dec 20, 2022, 11:37:45 AM",Morning Workout,Crossfit,"",2368,0,,,false,"",,activities/8864960182.tcx.gz,,,2368.0,2368.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,55.0,55.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
8270693703,"Dec 20, 2022, 12:21:47 PM",Morning Walk,Walk,,1373,1.69,,,false,,,activities/8864960242.gpx.gz,,,1373.0,1356.0,1694.70654296875,5.1301069259643555,1.2497835159301758,0.0,1.100000023841858,6.400000095367432,8.0,2.916839361190796,-0.0649079978466034,,,60.0,52.369781494140625,,,,,157.21034240722656,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.234309196472168,0.0,,,,,,,,,,,,""
8275908774,"Dec 21, 2022, 7:35:26 PM",Afternoon Walk,Walk,,912,1.48,,,false,,,activities/8870761758.gpx.gz,,,912.0,896.0,1485.7532958984375,3.899606943130493,1.6582067012786865,0.0,-1.100000023841858,5.800000190734863,7.900000095367432,3.9208993911743164,0.07403651624917984,,,66.0,60.217247009277344,,,,,137.82611083984375,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.6291154623031616,0.0,,,,,,,,,,,,""
8276076050,"Dec 21, 2022, 8:05:47 PM",Afternoon Workout,Crossfit,"",1623,0,,,false,"",,activities/8870945899.tcx.gz,,,1623.0,1623.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,60.0,60.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
8281847669,"Dec 22, 2022, 11:39:27 AM",Morning Workout,Crossfit,"",2172,0,,,false,"",,activities/8877403288.tcx.gz,,,2172.0,2172.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,60.0,60.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
8281847704,"Dec 23, 2022, 11:35:58 AM",Morning Workout,Crossfit,"",2610,0,,,false,"",,activities/8877403334.tcx.gz,,,2610.0,2610.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,60.0,60.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
8295740181,"Dec 26, 2022, 3:05:32 PM",Lunch Workout,Crossfit,"",2474,0,,,false,"",,activities/8893181171.tcx.gz,,,2474.0,2474.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,""
8304514743,"Dec 27, 2022, 9:02:29 PM",Evening Walk,Walk,,739,1.24,,,false,,,activities/8903094581.gpx.gz,,,739.0,710.0,1241.8504638671875,5.27971076965332,1.7490850687026978,2.7874999046325684,1.4874999523162842,4.800000190734863,8.199999809265137,8.888815879821777,0.10468249022960663,,,86.0,63.943504333496094,,,,,115.20067596435547,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.6804471015930176,0.0,,,,,,,,,,,,""
